subgroup;total;acc_base;f1_base
anger | повелительное | с_не | утверждение;53;0.8113207547169812;0.8958333333333334
joy | прошедшее | без_не | утверждение;91;0.8021978021978022;0.8902439024390244
surprise | прошедшее | без_не | вопрос;136;0.7941176470588235;0.8852459016393442
surprise | повелительное | без_не | вопрос;110;0.7909090909090909;0.883248730964467
surprise | прошедшее | с_не | вопрос;377;0.7904509283819628;0.882962962962963
joy | прошедшее | без_не | восклицание;114;0.7631578947368421;0.8656716417910447
anger | повелительное | с_не | восклицание;199;0.7537688442211056;0.8595988538681948
surprise | прошедшее | без_не | утверждение;23;0.7391304347826086;0.85
joy | повелительное | без_не | восклицание;101;0.7326732673267327;0.8457142857142858
anger | прошедшее | без_не | утверждение;82;0.7195121951219512;0.8368794326241135
surprise | повелительное | без_не | восклицание;21;0.7142857142857143;0.8333333333333334
surprise | прошедшее | без_не | восклицание;28;0.7142857142857143;0.8333333333333334
joy | повелительное | без_не | утверждение;92;0.6956521739130435;0.8205128205128205
anger | прошедшее | без_не | восклицание;98;0.6632653061224489;0.7975460122699386
anger | повелительное | без_не | утверждение;95;0.6;0.75
sadness | прошедшее | без_не | утверждение;147;0.5714285714285714;0.7272727272727273
surprise | повелительное | с_не | вопрос;361;0.5650969529085873;0.7221238938053097
surprise | повелительное | без_не | утверждение;21;0.5238095238095238;0.6875
anger | повелительное | без_не | восклицание;117;0.5042735042735043;0.6704545454545454
anger | повелительное | с_не | вопрос;27;0.48148148148148145;0.65
fear | прошедшее | без_не | утверждение;83;0.46987951807228917;0.639344262295082
anger | прошедшее | с_не | восклицание;93;0.46236559139784944;0.6323529411764706
fear | прошедшее | без_не | восклицание;85;0.4235294117647059;0.5950413223140496
sadness | прошедшее | без_не | восклицание;126;0.42063492063492064;0.5921787709497207
anger | прошедшее | без_не | вопрос;70;0.4142857142857143;0.5858585858585859
anger | прошедшее | с_не | утверждение;10;0.4;0.5714285714285714
fear | прошедшее | без_не | вопрос;73;0.3561643835616438;0.5252525252525253
fear | повелительное | без_не | утверждение;80;0.325;0.49056603773584906
anger | повелительное | без_не | вопрос;75;0.32;0.48484848484848486
fear | повелительное | без_не | восклицание;73;0.2876712328767123;0.44680851063829785
sadness | прошедшее | с_не | утверждение;102;0.2549019607843137;0.40625
sadness | повелительное | без_не | утверждение;138;0.2463768115942029;0.3953488372093023
sadness | прошедшее | без_не | вопрос;109;0.23853211009174313;0.3851851851851852
joy | прошедшее | без_не | вопрос;71;0.2112676056338028;0.3488372093023256
fear | повелительное | без_не | вопрос;72;0.20833333333333334;0.3448275862068966
anger | прошедшее | с_не | вопрос;10;0.2;0.3333333333333333
surprise | прошедшее | с_не | восклицание;26;0.19230769230769232;0.3225806451612903
joy | прошедшее | с_не | восклицание;224;0.15178571428571427;0.26356589147286824
sadness | повелительное | без_не | восклицание;120;0.13333333333333333;0.23529411764705882
joy | прошедшее | с_не | вопрос;9;0.1111111111111111;0.2
joy | повелительное | без_не | вопрос;74;0.10810810810810811;0.1951219512195122
joy | повелительное | с_не | вопрос;10;0.1;0.18181818181818182
sadness | прошедшее | с_не | восклицание;84;0.09523809523809523;0.17391304347826086
sadness | повелительное | без_не | вопрос;112;0.07142857142857142;0.13333333333333333
fear | повелительное | с_не | восклицание;37;0.05405405405405406;0.10256410256410256
joy | повелительное | с_не | восклицание;132;0.05303030303030303;0.10071942446043165
joy | повелительное | с_не | утверждение;138;0.028985507246376812;0.056338028169014086
joy | прошедшее | с_не | утверждение;213;0.028169014084507043;0.0547945205479452
sadness | повелительное | с_не | утверждение;85;0.023529411764705882;0.04597701149425287
sadness | повелительное | с_не | восклицание;65;0.015384615384615385;0.030303030303030304
fear | повелительное | с_не | вопрос;3;0.0;0.0
fear | прошедшее | с_не | утверждение;1;0.0;0.0
fear | прошедшее | с_не | восклицание;2;0.0;0.0
fear | прошедшее | с_не | вопрос;27;0.0;0.0
fear | повелительное | с_не | утверждение;38;0.0;0.0
sadness | повелительное | с_не | вопрос;34;0.0;0.0
sadness | прошедшее | с_не | вопрос;39;0.0;0.0
surprise | повелительное | с_не | восклицание;2;0.0;0.0
surprise | прошедшее | с_не | утверждение;1;0.0;0.0
