subgroup;total;acc_tiny2;f1_tiny2
anger | повелительное | с_не | утверждение;53;0.7924528301886793;0.8842105263157894
anger | прошедшее | без_не | восклицание;98;0.7755102040816326;0.8735632183908046
anger | прошедшее | без_не | утверждение;82;0.7560975609756098;0.8611111111111112
anger | повелительное | с_не | восклицание;199;0.7386934673366834;0.8497109826589595
surprise | повелительное | без_не | вопрос;110;0.7363636363636363;0.8481675392670157
anger | повелительное | без_не | восклицание;117;0.7264957264957265;0.8415841584158416
sadness | прошедшее | без_не | утверждение;147;0.7142857142857143;0.8333333333333334
joy | прошедшее | без_не | утверждение;91;0.7032967032967034;0.8258064516129032
anger | повелительное | без_не | утверждение;95;0.6947368421052632;0.8198757763975155
joy | прошедшее | без_не | восклицание;114;0.6929824561403509;0.8186528497409327
anger | повелительное | с_не | вопрос;27;0.6666666666666666;0.8
anger | прошедшее | с_не | восклицание;93;0.6559139784946236;0.7922077922077922
surprise | прошедшее | без_не | вопрос;136;0.6323529411764706;0.7747747747747747
anger | прошедшее | без_не | вопрос;70;0.6;0.75
surprise | прошедшее | без_не | утверждение;23;0.5652173913043478;0.7222222222222222
surprise | прошедшее | с_не | вопрос;377;0.5623342175066313;0.7198641765704584
surprise | прошедшее | без_не | восклицание;28;0.5357142857142857;0.6976744186046512
anger | повелительное | без_не | вопрос;75;0.52;0.6842105263157895
anger | прошедшее | с_не | утверждение;10;0.5;0.6666666666666666
joy | повелительное | без_не | восклицание;101;0.48514851485148514;0.6533333333333333
joy | повелительное | без_не | утверждение;92;0.44565217391304346;0.6165413533834586
joy | прошедшее | без_не | вопрос;71;0.4225352112676056;0.594059405940594
sadness | прошедшее | с_не | утверждение;102;0.35294117647058826;0.5217391304347826
surprise | повелительное | с_не | вопрос;361;0.34349030470914127;0.511340206185567
sadness | прошедшее | без_не | вопрос;109;0.3394495412844037;0.5068493150684932
fear | повелительное | с_не | вопрос;3;0.3333333333333333;0.5
sadness | прошедшее | без_не | восклицание;126;0.3333333333333333;0.5
fear | прошедшее | без_не | восклицание;85;0.32941176470588235;0.49557522123893805
fear | прошедшее | без_не | утверждение;83;0.3253012048192771;0.4909090909090909
anger | прошедшее | с_не | вопрос;10;0.3;0.46153846153846156
surprise | повелительное | без_не | восклицание;21;0.2857142857142857;0.4444444444444444
joy | повелительное | без_не | вопрос;74;0.28378378378378377;0.4421052631578947
fear | прошедшее | без_не | вопрос;73;0.273972602739726;0.43010752688172044
surprise | прошедшее | с_не | восклицание;26;0.19230769230769232;0.3225806451612903
surprise | повелительное | без_не | утверждение;21;0.19047619047619047;0.32
fear | повелительное | без_не | утверждение;80;0.175;0.2978723404255319
fear | повелительное | без_не | восклицание;73;0.136986301369863;0.24096385542168675
sadness | повелительное | без_не | утверждение;138;0.13043478260869565;0.23076923076923078
sadness | повелительное | с_не | утверждение;85;0.10588235294117647;0.19148936170212766
fear | повелительное | без_не | вопрос;72;0.09722222222222222;0.17721518987341772
sadness | прошедшее | с_не | восклицание;84;0.08333333333333333;0.15384615384615385
sadness | повелительное | без_не | вопрос;112;0.044642857142857144;0.08547008547008547
sadness | повелительное | без_не | восклицание;120;0.03333333333333333;0.06451612903225806
joy | повелительное | с_не | восклицание;132;0.030303030303030304;0.058823529411764705
joy | повелительное | с_не | утверждение;138;0.028985507246376812;0.056338028169014086
fear | повелительное | с_не | восклицание;37;0.02702702702702703;0.05263157894736842
sadness | повелительное | с_не | восклицание;65;0.015384615384615385;0.030303030303030304
joy | прошедшее | с_не | восклицание;224;0.013392857142857142;0.02643171806167401
fear | прошедшее | с_не | восклицание;2;0.0;0.0
fear | прошедшее | с_не | вопрос;27;0.0;0.0
fear | повелительное | с_не | утверждение;38;0.0;0.0
fear | прошедшее | с_не | утверждение;1;0.0;0.0
joy | прошедшее | с_не | утверждение;213;0.0;0.0
joy | повелительное | с_не | вопрос;10;0.0;0.0
joy | прошедшее | с_не | вопрос;9;0.0;0.0
sadness | повелительное | с_не | вопрос;34;0.0;0.0
sadness | прошедшее | с_не | вопрос;39;0.0;0.0
surprise | повелительное | с_не | восклицание;2;0.0;0.0
surprise | прошедшее | с_не | утверждение;1;0.0;0.0
