Реплика;Эмоция;;;
Злорадствуй.;Anger;;;
Не поощряй.;Neutral;;;
Достань!;Neutral;;;
Она предвкушала.;Joy;;;
Она не хихикала.;Sadness;;;
Сокруши?;Neutral;;;
Она торжествовала.;Joy;;;
Цвети?;Joy;;;
Забеспокойся?;Fear;;;
Она невзлюбила!;Anger;;;
Она не восхищалась!;Anger;;;
Возрадуйся.;Joy;;;
Она не устрашалась!;Fear;;;
Она взъярилась?;Anger;;;
Поразись.;Surprise;;;
Она подивила?;Неграмматично;;;
Не смущай.;Neutral;;;
Не вспыли.;Neutral;;;
Не поражайся.;Neutral;;;
Конфузься?;Fear;;;
Она обалдела.;Surprise;;;
Не переживай!;Joy;;;
Она освещала.;Neutral;;;
Повеселей?;Joy;;;
Она не поверила!;Neutral;;;
Она сердилась?;Anger;;;
Процветай.;Joy;;;
Она не нервничала.;Neutral;;;
Она не устрашила?;Fear;;;
Умайся?;Surprise;;;
Прогневайся.;Anger;;;
Она повеселела?;Joy;;;
Не восхищай.;Joy;;;
Она измочалила.;Neutral;;;
Она не злила?;Surprise;;;
Она терроризировала?;Anger;;;
Не изведись!;Anger;;;
Она не струсила!;Neutral;;;
Она не отчаивалась!;Anger;;;
Не утоми!;Anger;;;
Скисай.;Anger;;;
Она не болела?;Surprise;;;
Надуйся.;Anger;;;
Она взбадривалась.;Joy;;;
Она запугала?;Surprise;;;
Конфузься!;Fear;;;
Не дрожи?;Surprise;;;
Она не спугивала.;Neutral;;;
Не уважай!;Anger;;;
Она не конфузилась?;Surprise;;;
Не улыбайся?;Sadness;;;
Она не тряслась.;Neutral;;;
Она не топала.;Neutral;;;
Удовлетворяй.;Joy;;;
Не болей.;Neutral;;;
Сердись?;Surprise;;;
Страдай!;Anger;;;
Не плачь?;Anger;;;
Не точи?;Surprise;;;
Она не запугала!;Anger;;;
Она погоревала.;Sadness;;;
Она не напугала!;Anger;;;
Не поникни!;Joy;;;
Она не покаялась?;Surprise;;;
Она истерзалась.;Fear;;;
Не расстройся!;Joy;;;
Она скисала?;Surprise;;;
Она не убивалась?;Anger;;;
Она леденела?;Fear;;;
Она маялась.;Sadness;;;
